patentNumber,title,USPC #,company,companyState,patentIssueDate,applicationFilingDate
10169540,['BLOOD GLUCOSE SYSTEM HAVING TIME SYNCHRONIZATION'],604,N/A,N/A,2019-01-01,2008-12-19
10169784,['SYSTEMS AND METHODS FOR LOAN ORIGINATION AND SERVICING BASED ON A RECURRING DEPOSIT OF FUNDS'],705,N/A,N/A,2019-01-01,2009-03-23
10169960,['INTERACTION METHOD BETWEEN AN ATTENDANT COMPUTER AND A SELF-SERVICE COMPUTER'],705,N/A,N/A,2019-01-01,2009-04-17
10166357,['DELIVERY OF RESPIRATORY THERAPY WITH NASAL INTERFACE'],128,N/A,N/A,2019-01-01,2009-06-15
10167572,"['Large area deposition of graphene via hetero-epitaxial growth, and products including the same']",423,N/A,N/A,2019-01-01,2009-08-07
10169599,['Data Access Control with Flexible Data Disclosure'],726,N/A,N/A,2019-01-01,2009-08-26
10166066,['EPICARDIAL ABLATION CATHETER AND METHOD OF USE'],606,N/A,N/A,2019-01-01,2009-09-11
10169819,['Strategy based exit planning for a trading system'],705,N/A,N/A,2019-01-01,2009-09-18
10167137,['FLAME RESISTANT VISCOSE FILTER APPARATUS AND METHOD'],055,N/A,N/A,2019-01-01,2009-09-23
10166334,['MEDICINE INJECTION APPARATUSES'],604,N/A,N/A,2019-01-01,2009-09-29
10167494,"['Method for detection, characterization and/or identification of microorganisms in a sealed container']",435,N/A,N/A,2019-01-01,2009-10-30
10169723,['Distributed Policy Distribution For Compliance Functionality'],705,N/A,N/A,2019-01-01,2009-11-11
10172114,['AN APPARATUS AND ASSOCIATED METHODS FOR DETERMINING AVAILABLE CHANNELS BASED ON PREDICTED MOVEMENT'],455,N/A,N/A,2019-01-01,2009-12-11
10166138,['Ostomy Appliance'],604,N/A,N/A,2019-01-01,2009-12-11
10169740,['TAG CLOUD BUDDY LIST FOR MESSAGING CONTACTS'],707,N/A,N/A,2019-01-01,2009-12-31
10165762,['TEMPERATURE CONTROLLED CONTAINERS'],119,N/A,N/A,2019-01-01,2010-02-08
10166695,['PROCESS FOR SPLITTING A SEGMENT OF WOOD'],144,N/A,N/A,2019-01-01,2010-03-04
10167908,['CLUTCH ACTUATOR STRUCTURE'],192,N/A,N/A,2019-01-01,2010-03-10
10166196,['VEGETARIAN MICROCAPSULES'],424,N/A,N/A,2019-01-01,2010-03-25
10166781,['BOTTLING PLANT WITH AN INFORMATION-ADDING STATION CONFIGURED TO ADD INFORMATION ON THE OUTER SURFACE OF A BOTTLE OR CONTAINER'],053,N/A,N/A,2019-01-01,2010-04-19
10166181,['SLOW RELEASE PHARMACEUTICAL COMPOSITION MADE OF MICROGRANULES'],424,N/A,N/A,2019-01-01,2010-04-20
10171889,['METHOD AND SYSTEM FOR MANAGING INTERNAL AND EXTERNAL CALLS FOR A GROUP OF COMMUNICATION CLIENTS SHARING A COMMON CUSTOMER IDENTIFIER'],370,N/A,N/A,2019-01-01,2010-05-07
10167332,['POLYPEPTIDES WITH ENHANCED ANTI-INFLAMMATORY AND DECREASED CYTOTOXIC PROPERTIES AND RELATING METHODS'],424,N/A,N/A,2019-01-01,2010-06-30
10170204,"['Methods, Systems, and Tools for Use in Processing Prescriptions']",705,N/A,N/A,2019-01-01,2010-06-30
10166021,['WOUND CLOSURE SYSTEM'],606,N/A,N/A,2019-01-01,2010-07-19
10169072,['Hardware For Parallel Command List Generation'],711,N/A,N/A,2019-01-01,2010-08-09
10169187,['PROCESSOR CORE HAVING A SATURATING EVENT COUNTER FOR MAKING PERFORMANCE MEASUREMENTS'],702,N/A,N/A,2019-01-01,2010-08-18
10167743,['METHOD FOR CONTROLLING A STEAM GENERATOR AND CONTROL CIRCUIT FOR A STEAM GENERATOR'],122,N/A,N/A,2019-01-01,2010-08-26
10172072,['CONNECTIONLESS MODES FOR WIRELESS MACHINE TO MACHINE COMMUNICATIONS IN WIRELESS COMMUNICATION NETWORKS'],370,N/A,N/A,2019-01-01,2010-09-01
10169484,['METHODS AND APPARATUS TO MANAGE PROCESS CONTROL SEARCH RESULTS'],707,N/A,N/A,2019-01-01,2010-09-23
10166365,['CATHETER ASSEMBLY INCLUDING SEALING MEMBER'],604,N/A,N/A,2019-01-01,2010-09-30
10165821,"['SOLE FOR A SHOE, IN PARTICULAR FOR A RUNNING SHOE']",036,N/A,N/A,2019-01-01,2010-10-20
10169017,['CROWDSOURCING LOCATION BASED APPLICATIONS AND STRUCTURED DATA FOR LOCATION BASED APPLICATIONS'],709,N/A,N/A,2019-01-01,2010-10-21
10171258,['DATA COLLECTION METHOD AND SYSTEM'],709,N/A,N/A,2019-01-01,2010-12-07
10169901,['STAGGERED ANIMATION SCHEDULING'],345,N/A,N/A,2019-01-01,2010-12-17
10170650,['VERTICALLY STACKED PHOTOVOLTAIC AND THERMAL SOLAR CELL'],136,N/A,N/A,2019-01-01,2010-12-21
10172035,['STORAGE AND PLAYBACK DEVICE AND METHOD FOR USING THE SAME'],455,N/A,N/A,2019-01-01,2011-01-21
10169087,['Technique for preserving memory affinity in a non-uniform memory access data processing system'],711,N/A,N/A,2019-01-01,2011-01-28
10168852,['MAGNETIC RESONANCE IMAGING APPARATUS'],715,N/A,N/A,2019-01-01,2011-01-28
10165772,['METHODS AND COMPOUNDS FOR INCREASING RED BLOOD CELL SURVIVAL'],514,N/A,N/A,2019-01-01,2011-02-18
10170652,['METAMORPHIC SOLAR CELL HAVING IMPROVED CURRENT GENERATION'],136,N/A,N/A,2019-01-01,2011-03-22
10167954,['DEVICE AND METHOD FOR STABILIZING A PISTON RING IN A CROSSHEAD ENGINE'],277,N/A,N/A,2019-01-01,2011-04-11
10169094,['Dynamic Transaction-Persistent Server Load Balancing'],709,N/A,N/A,2019-01-01,2011-04-27
10168105,['DEVICE AND METHOD FOR STORING HEAT'],126,N/A,N/A,2019-01-01,2011-05-04
10167263,['TREATMENT OF AMYOTROPHIC LATERAL SCLEROSIS'],514,N/A,N/A,2019-01-01,2011-05-18
10167110,['DUAL HEIGHT COLLAPSIBLE CONTAINER'],206,N/A,N/A,2019-01-01,2011-05-27
10166202,['TREATMENT OF HEPATIC ENCEPHALOPATHY AND LIVER CIRRHOSIS'],514,N/A,N/A,2019-01-01,2011-06-16
10170668,['SOLID STATE LIGHTING DEVICES WITH IMPROVED CURRENT SPREADING AND LIGHT EXTRACTION AND ASSOCIATED METHODS'],257,N/A,N/A,2019-01-01,2011-06-21
10171575,['Dynamic Allocation of a Quota of Consumer Nodes Connecting to a Resource Node of a Peer-to-Peer Network'],709,N/A,N/A,2019-01-01,2011-06-23
10170764,"['METHOD FOR MANUFACTURING ULTRA SMALL PARTICLE, POSITIVE ELECTRODE ACTIVE MATERIAL OF SECOND BATTERY USING THE METHOD FOR MANUFACTURING ULTRA SMALL PARTICLE AND METHOD FOR MANUFACTURING THE SAME, AND SECONDARY BATTERY USING THE POSITIVE ELECTRODE ACTIVE MATERIAL AND METHOD FOR MANUFACTURING THE SAME']",429,N/A,N/A,2019-01-01,2011-06-28
10166508,['REACTIVE COMPONENT REDUCTION SYSTEM AND METHODS FOR THE USE THEREOF'],422,N/A,N/A,2019-01-01,2011-06-30
10170783,['MANUFACTURE OF A FUEL CELL WITH LIQUID ELECTROLYTE MIGRATION PREVENTION'],429,N/A,N/A,2019-01-01,2011-07-21
10166150,['THERAPEUTIC COMPRESSION DEVICE AND METHOD'],601,N/A,N/A,2019-01-01,2011-07-28
10167450,['HUMAN PANCREATIC BETA CELL LINES FOR DIAGNOSTIC OF DIABETES'],424,N/A,N/A,2019-01-01,2011-07-29
10166024,['APPARATUS AND METHODS FOR OCCLUDING A HOLLOW ANATOMICAL STRUCTURE'],606,N/A,N/A,2019-01-01,2011-07-29
10169500,['CRITICAL PATH DELAY PREDICTION'],702,N/A,N/A,2019-01-01,2011-08-08
10165928,"['SYSTEMS, INSTRUMENTS, AND METHODS FOR FOUR DIMENSIONAL SOFT TISSUE NAVIGATION']",600,N/A,N/A,2019-01-01,2011-08-22
10170523,['TOUCH SENSITIVE DISPLAY AND METHOD FOR MANUFACTURING THE SAME'],345,N/A,N/A,2019-01-01,2011-08-30
10168046,['NON-METALLIC HUMIDIFICATION COMPONENT'],122,N/A,N/A,2019-01-01,2011-09-30
10167662,['Frame assembly for a doorway'],052,N/A,N/A,2019-01-01,2011-10-20
10166067,['Ablation Catheter and Method for Electrically Isolating Cardiac Tissue'],606,N/A,N/A,2019-01-01,2011-11-10
10167573,['METHOD OF PRODUCING SiC SINGLE CRYSTAL'],117,N/A,N/A,2019-01-01,2011-11-21
10169696,['RFID SYSTEM FOR CHECKING MEDICAL ITEMS'],340,N/A,N/A,2019-01-01,2011-11-28
10169213,['PROCESSING OF AN APPLICATION AND A CORRESPONDING TEST FILE IN A CONTENT REPOSITORY'],717,N/A,N/A,2019-01-01,2011-11-29
10170798,['MODERATE TEMPERATURE SODIUM BATTERY'],429,N/A,N/A,2019-01-01,2011-11-30
10169339,['Context-sensitive query enrichment'],345,N/A,N/A,2019-01-01,2011-11-30
10171599,['Customizing Tracking Changes to User Content in an Online Social Network'],707,N/A,N/A,2019-01-01,2011-12-07
10169724,['Display of user relationships'],709,N/A,N/A,2019-01-01,2011-12-14
10167554,['WAFER PROCESSING WITH CARRIER EXTENSION'],118,N/A,N/A,2019-01-01,2011-12-21
10168344,['DRIVE ASSEMBLY FOR ROBOTIC CONVEYOR SYSTEM'],422,N/A,N/A,2019-01-01,2011-12-22
10167813,['GAS TURBINE ENGINE WITH FAN VARIABLE AREA NOZZLE TO REDUCE FAN INSTABILITY'],060,N/A,N/A,2019-01-01,2011-12-30
10165807,['LOW PROFILE BODY PROTECTION DEVICE'],002,N/A,N/A,2019-01-01,2012-01-03
10166032,['Modular Humeral Head Resurfacing System'],623,N/A,N/A,2019-01-01,2012-01-06
10172194,"['LIGHT EMITTING ELEMENT DRIVING CIRCUIT, LIGHT EMITTING DEVICE, DISPLAY DEVICE, AND LIGHT EMISSION CONTROLLING METHOD']",345,N/A,N/A,2019-01-01,2012-01-12
10171522,['VIDEO COMMENTARY'],709,N/A,N/A,2019-01-01,2012-01-13
10166014,['HEART VALVE PROSTHESIS AND METHOD'],623,N/A,N/A,2019-01-01,2012-01-16
10169812,['PROVIDING FINANCIAL ACCOUNT INFORMATION TO USERS'],705,N/A,N/A,2019-01-01,2012-01-20
10169097,['DYNAMIC QUORUM FOR DISTRIBUTED SYSTEMS'],709,N/A,N/A,2019-01-01,2012-01-23
10166351,"['ENHANCED SYSTEMS, PROCESSES AND APPARATUS FOR FACILITATING INTRANASAL TREATMENT OF A PATIENT AND PRODUCTS THEREBY']",604,N/A,N/A,2019-01-01,2012-02-10
10168829,"['INFORMATION PROCESSING APPARATUS, CONTROL METHOD THEREFOR, PROGRAM, AND RECORDING MEDIUM']",345,N/A,N/A,2019-01-01,2012-02-16
10171813,['HIERARCHY OF MOTION PREDICTION VIDEO BLOCKS'],375,N/A,N/A,2019-01-01,2012-02-22
10167508,['DETECTION OF GENETIC ABNORMALITIES'],435,N/A,N/A,2019-01-01,2012-02-29
10168085,['CONDENSER HAVING A REFRIGERANT RESERVOIR ASSEMBLY CONTAINING A DESICCANT BAG'],062,N/A,N/A,2019-01-01,2012-03-02
10167783,['Low Pressure Compressor Variable Vane Control for Two-Spool Turbofan or Turboprop Engine'],415,N/A,N/A,2019-01-01,2012-03-09
10170203,['Method and Software For a Web-Based Platform of Comprehensive Personal Health Records that Enforces Individualized Patient Hierarchies of User Permissions and Detects Gaps in Patient Care'],705,N/A,N/A,2019-01-01,2012-03-13
10169575,['SYSTEMS AND METHODS FOR PREVENTING INTERNAL NETWORK ATTACKS'],726,N/A,N/A,2019-01-01,2012-03-14
10169558,['ENHANCING BIOMETRIC SECURITY OF A SYSTEM'],726,N/A,N/A,2019-01-01,2012-03-19
10168413,['Service Enhancements Using Near Field Communication'],705,N/A,N/A,2019-01-01,2012-03-22
10171293,"['Initializing, Provisioning, and Managing Devices']",370,N/A,N/A,2019-01-01,2012-03-26
10165819,['HELMET ACCESSORY ADAPTER'],002,N/A,N/A,2019-01-01,2012-03-30
10170187,"['APPARATUSES AND METHODS USING NEGATIVE VOLTAGES IN PART OF MEMORY WRITE READ, AND ERASE OPERATIONS']",365,N/A,N/A,2019-01-01,2012-04-02
10170743,"['SEPARATOR AND NONAQUEOUS ELECTROLYTE BATTERY, AND BATTERY PACK, ELECTRONIC APPARATUS, ELECTRIC VEHICLE, ELECTRIC POWER STORAGE DEVICE, AND ELECTRIC POWER SYSTEM']",429,N/A,N/A,2019-01-01,2012-04-02
10170277,"['APPARATUS AND METHODS FOR DRY ETCH WITH EDGE, SIDE AND BACK PROTECTION']",156,N/A,N/A,2019-01-01,2012-04-25
10169381,['DATABASE RECOVERY BY CONTAINER'],707,N/A,N/A,2019-01-01,2012-04-30
10169170,['Controlling Configurable Variable Data Reduction'],711,N/A,N/A,2019-01-01,2012-05-01
10166953,['VEHICLE SHIFT CONTROL SYSTEM'],477,N/A,N/A,2019-01-01,2012-05-21
10169796,['Process for the Delivery of Customized Information Related to a Specific Product of Interest to a Consumer'],705,N/A,N/A,2019-01-01,2012-05-22
10165961,['ADJUSTABLE HEAD COIL SYSTEMS AND METHODS FOR MAGNETIC RESONANCE IMAGING'],600,N/A,N/A,2019-01-01,2012-05-25
10169000,['PROVISIONING COMPOSITE APPLICATIONS USING SECURE PARAMETER ACCESS'],717,N/A,N/A,2019-01-01,2012-05-30
10166338,['DRUG DELIVERY SYSTEM AND DEVICE WITH CAP FUNCTION'],604,N/A,N/A,2019-01-01,2012-05-30
10166188,['Novel Method for Vacuum-Assisted Preservation of Biologics Including Vaccines'],435,N/A,N/A,2019-01-01,2012-05-31
10166622,['AUTOMATIC WELDING METHOD AND APPARATUS'],219,N/A,N/A,2019-01-01,2012-05-31
10166436,['METHODS AND PROGRAM PRODUCTS FOR BUILDING A WORKOUT'],482,N/A,N/A,2019-01-01,2012-06-01
10167479,['AGROBACTERIUM STRAINS FOR PLANT TRANSFORMATION'],800,N/A,N/A,2019-01-01,2012-06-04
10166630,"['OPTICAL MEASURING DEVICE FOR MONITORING A JOINT SEAM, JOINING HEAD AND LASER WELDING HEAD WITH SAME']",219,N/A,N/A,2019-01-01,2012-06-15
10167547,['GADOLINIUM SPUTTERING TARGET AND PRODUCTION METHOD OF SAID TARGET'],204,N/A,N/A,2019-01-01,2012-06-19
10167975,['COUPLING SYSTEM FOR AN EXPANDABLE FLUID DISTRIBUTION SYSTEM'],285,N/A,N/A,2019-01-01,2012-06-25
10169083,['SCALABLE METHOD FOR OPTIMIZING INFORMATION PATHWAY'],718,N/A,N/A,2019-01-01,2012-06-28
10165817,['BATTERY PACK AND HELMET MOUNTING ARRANGEMENT'],002,N/A,N/A,2019-01-01,2012-06-28
10169442,['METHODS AND SYSTEMS FOR MULTI-DIMENSIONAL AGGREGATION USING COMPOSITION'],707,N/A,N/A,2019-01-01,2012-06-29
10168387,['INTEGRATED DEFECT DETECTION AND LOCATION SYSTEMS AND METHODS IN SEMICONDUCTOR CHIP DEVICES'],714,N/A,N/A,2019-01-01,2012-07-03
10166519,['METHODS AND FUEL PROCESSING APPARATUSES FOR UPGRADING A PYROLYSIS OIL STREAM AND A HYDROCARBON STREAM'],208,N/A,N/A,2019-01-01,2012-07-31
10168329,['N-ACETYL-D-GLUCOSAMINE FOR ENHANCED SPECIFICITY OF STREP A IMMUNOASSAY'],435,N/A,N/A,2019-01-01,2012-07-31
10166316,['CONTROLLED RANDOMIZED POROUS STRUCTURES AND METHODS FOR MAKING SAME'],419,N/A,N/A,2019-01-01,2012-08-07
10166556,['PULSATING HIGH PRESSURE AIR AND WATER NOZZLE'],239,N/A,N/A,2019-01-01,2012-08-07
10169456,['AUTOMATIC DETERMINATION OF QUESTION IN TEXT AND DETERMINATION OF CANDIDATE RESPONSES USING DATA MINING'],707,N/A,N/A,2019-01-01,2012-08-14
10169435,['CONTENT TRANSFER'],707,N/A,N/A,2019-01-01,2012-08-20
10169348,['USING A FILE PATH TO DETERMINE FILE LOCALITY FOR APPLICATIONS'],707,N/A,N/A,2019-01-01,2012-08-23
10169119,['METHOD AND APPARATUS FOR IMPROVING RELIABILITY OF DIGITAL COMMUNICATIONS'],370,N/A,N/A,2019-01-01,2012-08-28
10171540,['METHOD AND APPARATUS FOR STREAMING VIDEO SECURITY'],726,N/A,N/A,2019-01-01,2012-09-07
10169446,['RELATIONAL MODELER AND RENDERER FOR NON-RELATIONAL DATA'],707,N/A,N/A,2019-01-01,2012-09-10
10170238,['Hand tool device having at least one charging coil'],320,N/A,N/A,2019-01-01,2012-09-11
10167216,['High Efficiency Wastewater Treatment System'],210,N/A,N/A,2019-01-01,2012-09-14
10169791,['SYSTEM FOR UTILIZING REDEMPTION INFORMATION'],705,N/A,N/A,2019-01-01,2012-09-15
10167207,"['ELECTROLYTIC APPARATUS WITH CIRCULATOR, REVERSE OSMOSIS FILTER, AND COOLER, FOR PRODUCING REDUCING WATER']",210,"SAMSUNG ELECTRONICS CO., LTD.",,2019-01-01,2012-09-26
10171881,['BACKUP MODULE AND METHOD'],707,N/A,N/A,2019-01-01,2012-09-28
10165951,['SENSOR DEVICE AND METHOD FOR MEASURING AND DETERMINING A PULSE ARRIVAL TIME (PAT) VALUE'],600,CSEM CENTRE SUISSE D'ELECTRONIQUE ET DE MICROTECHN,,2019-01-01,2012-09-28
10167779,['MID-TURBINE FRAME HEAT SHIELD'],415,UNITED TECHNOLOGIES CORPORATION,CT,2019-01-01,2012-09-28
10169579,['MALICIOUS PDF DETECTION'],726,"PALO ALTO NETWORKS, INC.",CA,2019-01-01,2012-09-28
10171674,['CUSTOMER-CONTROLLED RECORDING'],379,N/A,N/A,2019-01-01,2012-10-05
10172259,['METHOD AND APPARATUS FOR REGULATING A COOLING DEVICE FITTED TO A SWITCHGEAR CABINET'],165,N/A,N/A,2019-01-01,2012-10-17
10170746,"['BATTERY ELECTRODE, BATTERY, AND METHOD FOR MANUFACTURING A BATTERY ELECTRODE']",429,INFINEON TECHNOLOGIES AG,,2019-01-01,2012-10-17
10171592,['Techniques for Multi-Level Service Discovery'],709,INTEL CORPORATION,CA,2019-01-01,2012-10-24
10166111,['SPINAL IMPLANTS AND RELATED APPARATUS AND METHODS'],623,N/A,N/A,2019-01-01,2012-10-25
10169091,['EFFICIENT MEMORY VIRTUALIZATION IN MULTI-THREADED PROCESSING UNITS'],718,NVIDIA CORPORATION,CA,2019-01-01,2012-10-25
10167784,['SYSTEM FOR DETECTING SHAFT SHEAR EVENT'],701,Pratt & Whitney Canada Corp.,,2019-01-01,2012-10-26
10168554,['PHOTOCHROMIC LENS'],428,"TALEX OPTICAL CO., LTD.",,2019-01-01,2012-11-02
10170645,['Organic Vehicle For Electroconductive Paste'],136,Heraeus Precious Metals North America Conshohocken,PA,2019-01-01,2012-11-02
10168451,['METHODS FOR REDUCING DIFFUSE REFLECTION OF NANOSTRUCTURE-BASED TRANSPARENT CONDUCTIVE FILMS AND TOUCH PANELS MADE OF THE SAME'],359,CHAMP GREAT INT'L CORPORATION,SC,2019-01-01,2012-11-02
10167995,['Portable Item Holder Having An Elongate Void Extending Between Two Openings For Receiving The Item'],248,"WE-FLEX, LLC",MO,2019-01-01,2012-11-13
10166148,['SURGICAL CAVITY DRAINAGE AND CLOSURE SYSTEM'],604,UNIVERSITY OF MASSACHUSETTS,MA,2019-01-01,2012-11-13
10165937,['Configurable Anesthesia Safety System'],600,"Karl Storz Imaging, Inc.",CA,2019-01-01,2012-11-13
10166128,['Lattice'],623,"W. L. GORE & ASSOCIATES, INC.",DE,2019-01-01,2012-11-13
10169491,['QUERY SERVICING WITH ACCESS PATH SECURITY IN A RELATIONAL DATABASE MANAGEMENT SYSTEM'],707,INTERNATIONAL BUSINESS MACHINES CORPORATION,NY,2019-01-01,2012-11-20
10171546,"['CONTENT REPRODUCTION APPARATUS, CONTROL INFORMATION PROVIDING SERVER, AND CONTENT REPRODUCTION SYSTEM']",709,N/A,N/A,2019-01-01,2012-11-27
10167520,['UNIVERSAL OR BROAD RANGE ASSAYS AND MULTI-TAG SAMPLE SPECIFIC DIAGNOSTIC PROCESS USING NON-OPTICAL SEQUENCING'],435,N/A,N/A,2019-01-01,2012-12-06
10169786,['Method and Apparatus for Repurchasing Items'],705,"PAYPAL, INC.",CA,2019-01-01,2012-12-07
10168853,['DISPLAYING NEWS TICKER CONTENT BASED ON VALUE IN A SOCIAL NETWORKING SYSTEM'],715,N/A,N/A,2019-01-01,2012-12-09
10170762,['LITHIUM METAL OXIDES WITH MULTIPLE PHASES AND STABLE HIGH ENERGY ELECTROCHEMICAL CYCLING'],429,"ENVIA SYSTEMS, INC.",CA,2019-01-01,2012-12-11
10169755,['FUND ON ACTIVATION'],705,VISA INTERNATIONAL SERVICE ASSOCIATION,CA,2019-01-01,2012-12-19
10166285,['Recombinant Virus with Diminished Latency and Methods of Using Same'],424,N/A,N/A,2019-01-01,2012-12-21
10166583,['PROCESS FOR HOT-ROLLING METALLIC HOLLOW BODIES AND CORRESPONDING HOT-ROLLING MILL'],072,N/A,N/A,2019-01-01,2012-12-24
10165868,['INTERNAL TENSIONING STRUCTURE USEABLE WITH INFLATABLE DEVICES'],428,Intex Marketing Ltd.,,2019-01-01,2012-12-26
10171500,"['Systems, Apparatuses, and Methods for Enforcing Security on a Platform']",726,N/A,N/A,2019-01-01,2012-12-28
10172042,"['Method, Apparatus and System for Establishing Signaling']",370,"HUAWEI TECHNOLOGIES CO., LTD.",,2019-01-01,2012-12-31
10169813,['Consolidation Process Command Center'],705,INTERNATIONAL BUSINESS MACHINES CORPORATION,NY,2019-01-01,2013-01-11
10165893,['COOKWARE ITEM WITH SPOON RECEIVING RECESS'],220,N/A,N/A,2019-01-01,2013-01-15
10169691,['COVERT COATING FOR AUTHENTICATION OF MATERIALS'],235,N/A,N/A,2019-01-01,2013-01-17
10169757,['SCALABLE DATA STORAGE AND RETRIEVAL'],705,"Amazon Technologies, Inc.",NV,2019-01-01,2013-01-30
10170563,['GALLIUM NITRIDE SEMICONDUCTOR DEVICE WITH IMPROVED TERMINATION SCHEME'],257,Alpha and Omega Semiconductor Incorporated,CA,2019-01-01,2013-02-09
10169806,['SHARED AGGREGATED E-COMMERCE SHOPPING CART'],705,"AMAZON TECHNOLOGIES, INC.",NV,2019-01-01,2013-02-13
10171804,['VIDEO FRAME ENCODING SCHEME SELECTION'],375,Google Inc.,CA,2019-01-01,2013-02-21
10166160,['Novel Air Bearing Device And Method For Transferring Patients'],005,"Qfix Systems, LLC",PA,2019-01-01,2013-02-21
10169356,['INTELLIGENT DATA CACHING FOR TYPEAHEAD SEARCH'],707,"Facebook, Inc.",CA,2019-01-01,2013-02-26
10171805,"['VIDEO ENCODING DEVICE AND PROGRAM, VIDEO DECODING DEVICE AND PROGRAM, AND VIDEO DISTRIBUTION SYSTEM']",375,"OKI ELECTRIC INDUSTRY CO., LTD.",,2019-01-01,2013-02-27
10166410,['FOCUSED ULTRASOUND GUIDING SYSTEM AND METHOD THEREOF'],600,CHANG GUNG UNIVERSITY,,2019-01-01,2013-02-27
10171557,['METHOD AND DEVICE FOR PROCESSING MEDIA STREAMS BETWEEN A PLURALITY OF MEDIA TERMINALS AND A PROCESSING UNIT ALL CONNECTED TO ONE ANOTHER OVER A COMMUNICATION NETWORK'],709,N/A,N/A,2019-01-01,2013-02-28
10169307,['METHOD AND SYSTEM FOR THE USE OF ADJUSTMENT HANDLES TO FACILITATE DYNAMIC LAYOUT EDITING'],715,Wix.com Ltd.,,2019-01-01,2013-02-28
10166980,['Vehicle Mass Computation'],701,"FORD GLOBAL TECHNOLOGIES, LLC",MI,2019-01-01,2013-02-28
10167674,"['METHODS OF FABRICATING POLYCRYSTALLINE DIAMOND BY FUNCTIONALIZING DIAMOND NANOPARTICLES, GREEN BODIES INCLUDING FUNCTIONALIZED DIAMOND NANOPARTICLES, AND METHODS OF FORMING POLYCRYSTALLINE DIAMOND CUTTING ELEMENTS']",051,BAKER HUGHES INCORPORATED,TX,2019-01-01,2013-03-01
10165774,['DEFOAMER USEFUL IN A PERACID COMPOSITION WITH ANIONIC SURFACTANTS'],424,Ecolab USA Inc.,MN,2019-01-01,2013-03-05
10168471,['OPTICAL SENSOR AND METHOD'],385,N/A,N/A,2019-01-01,2013-03-08
10166684,['Industrial Robot Including A Parallel Kinematic Manipulator'],414,ABB Research Ltd.,,2019-01-01,2013-03-08
10170837,['SEGMENTED ANTENNA'],343,"FUTUREWEI TECHNOLOGIES, INC.",TX,2019-01-01,2013-03-11
10167305,['ALLYL COMPLEXES FOR USE IN COUPLING REACTIONS'],546,N/A,N/A,2019-01-01,2013-03-11
10170959,['ELECTRICAL MACHINES AND METHODS OF ASSEMBLING THE SAME'],310,"HUB CITY, INC.",SD,2019-01-01,2013-03-13
10171887,['Methods And Systems For Intelligent Playback'],348,"COMCAST CABLE COMMUNICATIONS, LLC",PA,2019-01-01,2013-03-13
